pdf,page,table_label,caption,region_id,region_bbox,region_confidence,region_band,parser,succeeded,duration_ms,rows,cols,chunk_bbox,overlap,rule_category,recommended_action,needs_llm_judge,rule_confidence,rule_reasons,retry_attempted,retry_succeeded,retry_action,retry_rows,retry_cols,retry_overlap,retry_failure_reason,llm_judge_attempted,llm_failure_category,llm_recommended_action,llm_confidence,llm_reason,llm_error,rule_llm_agree,would_retry,would_adjust_bbox,would_drop_candidate,safe_auto_action,human_review_required,auto_action_allowed,auto_decision_reason,candidate_score,candidate_tier,candidate_reasons,retry_candidate_score,retry_score_delta,retry_score_verdict,retry_adoptable,excluded_from_storage,storage_exclusion_reason,storage_decision_source,failure_reason,preview
"2009 Genome, secretome and glucose transport highlight unique.pdf",3,Table 1,Table 1: Genome statistics overview similar methods for K. lactis [15] and C. albicans [16],table_region_p3_47.1_434.6_562.0_792.0,"[47.14, 434.6057599999999, 562.0397720000001, 792.0]",1.0,strong,region_guided,False,304,0,0,,0.0,body_text_contamination,shrink_bbox,True,0.65,region_confidence=1.00 | words=328 | many_long_lines_or_body_words,True,True,shrink_bbox,16,7,1.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.02,failed,no_parser_output | too_few_rows | too_few_cols | text_context_body_heavy,0.805,0.785,improved,True,True,failed table self-check with no usable parser output,failed_self_check_no_structure,no overlapping table chunk produced for this region,
"2009 Genome, secretome and glucose transport highlight unique.pdf",5,Table 2,Table 2: Secreted proteins of P. pastoris,table_region_p5_47.1_106.7_562.0_769.3,"[47.14, 106.73540000000003, 562.04, 769.26]",1.0,strong,region_guided,True,304,3,5,"[59.099999999999966, 128.7305, 497.369028, 733.710702]",1.0,ok,accept,False,0.9,parser_output_passed_quality_checks,False,False,,0,0,0.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.97,strong,too_few_data_rows | text_context_body_heavy,0.0,0.0,,False,False,,table_self_check_passed_or_repairable,,| PIPA ID | Predicted function theoret | ical pI/MW [kDa] Predicted | N-glycosylation | Predicted | | --- | --- | --- | --- | --- | |  |  |  | sites |  | | PIPA00211 | Covalently-bound cell wall protein of | 5.01/45.73 | 1 | secreted |
"2009 Genome, secretome and glucose transport highlight unique.pdf",3,Table 1,Table 1: Genome statistics overview similar methods for K. lactis [15] and C. albicans [16],table_region_p3_47.1_434.6_562.0_792.0,"[47.14, 434.6057599999999, 562.0397720000001, 792.0]",1.0,strong,pdfplumber,False,241,0,0,,0.0,body_text_contamination,shrink_bbox,True,0.65,region_confidence=1.00 | words=328 | many_long_lines_or_body_words,True,True,shrink_bbox,16,7,1.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.02,failed,no_parser_output | too_few_rows | too_few_cols | text_context_body_heavy,0.805,0.785,improved,True,True,failed table self-check with no usable parser output,failed_self_check_no_structure,no overlapping table chunk produced for this region,
"2009 Genome, secretome and glucose transport highlight unique.pdf",5,Table 2,Table 2: Secreted proteins of P. pastoris,table_region_p5_47.1_106.7_562.0_769.3,"[47.14, 106.73540000000003, 562.04, 769.26]",1.0,strong,pdfplumber,True,241,3,5,"[59.099999999999966, 128.7305, 497.369028, 733.710702]",1.0,ok,accept,False,0.9,parser_output_passed_quality_checks,False,False,,0,0,0.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.97,strong,too_few_data_rows | text_context_body_heavy,0.0,0.0,,False,False,,table_self_check_passed_or_repairable,,| PIPA ID | Predicted function theoret | ical pI/MW [kDa] Predicted | N-glycosylation | Predicted | | --- | --- | --- | --- | --- | |  |  |  | sites |  | | PIPA00211 | Covalently-bound cell wall protein of | 5.01/45.73 | 1 | secreted |
j.mimet.2011.04.018.pdf,2,Table 1,"Table1 laboratory media (Davis et al., 2005). Moreover, this study also",table_region_p2_34.5_53.4_569.5_713.0,"[34.5197, 53.375747219999994, 569.5443437, 713.0288135999999]",1.0,strong,region_guided,True,385,10,2,"[48.47169600000001, 57.375747219999994, 561.6120904, 705.4972339999999]",1.0,ok,accept,False,0.9,parser_output_passed_quality_checks,False,False,,0,0,0.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.773,usable,text_context_body_heavy,0.0,0.0,,False,False,,table_self_check_passed_or_repairable,,"| column 1 | column 2 | | --- | --- | | ble1 me interacting factors influencing gene expression, the viable but not | cultural | | BNC)state,microbialsurvivalandlossofviabilityintheenvironment. |  | | Soiltexture |  | | pH Temperature |  | "
j.mimet.2011.04.018.pdf,2,Table 3,Table3,table_region_p2_34.5_559.9_569.5_793.7,"[34.5197, 559.882936, 569.543, 793.701]",0.95,strong,region_guided,True,385,10,2,"[48.47169600000001, 57.375747219999994, 561.6120904, 705.4972339999999]",0.597,ok,accept,False,0.9,parser_output_passed_quality_checks,False,False,,0,0,0.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.693,usable,bbox_much_larger_than_region | text_context_body_heavy,0.0,0.0,,False,False,,table_self_check_passed_or_repairable,,"| column 1 | column 2 | | --- | --- | | ble1 me interacting factors influencing gene expression, the viable but not | cultural | | BNC)state,microbialsurvivalandlossofviabilityintheenvironment. |  | | Soiltexture |  | | pH Temperature |  | "
j.mimet.2011.04.018.pdf,2,Table 1,"Table1 laboratory media (Davis et al., 2005). Moreover, this study also",table_region_p2_34.5_53.4_569.5_713.0,"[34.5197, 53.375747219999994, 569.5443437, 713.0288135999999]",1.0,strong,pdfplumber,True,351,10,2,"[48.47169600000001, 57.375747219999994, 561.6120904, 705.4972339999999]",1.0,ok,accept,False,0.9,parser_output_passed_quality_checks,False,False,,0,0,0.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.773,usable,text_context_body_heavy,0.0,0.0,,False,False,,table_self_check_passed_or_repairable,,"| column 1 | column 2 | | --- | --- | | ble1 me interacting factors influencing gene expression, the viable but not | cultural | | BNC)state,microbialsurvivalandlossofviabilityintheenvironment. |  | | Soiltexture |  | | pH Temperature |  | "
j.mimet.2011.04.018.pdf,2,Table 3,Table3,table_region_p2_34.5_559.9_569.5_793.7,"[34.5197, 559.882936, 569.543, 793.701]",0.95,strong,pdfplumber,True,351,10,2,"[48.47169600000001, 57.375747219999994, 561.6120904, 705.4972339999999]",0.597,ok,accept,False,0.9,parser_output_passed_quality_checks,False,False,,0,0,0.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.693,usable,bbox_much_larger_than_region | text_context_body_heavy,0.0,0.0,,False,False,,table_self_check_passed_or_repairable,,"| column 1 | column 2 | | --- | --- | | ble1 me interacting factors influencing gene expression, the viable but not | cultural | | BNC)state,microbialsurvivalandlossofviabilityintheenvironment. |  | | Soiltexture |  | | pH Temperature |  | "
"55、cstI晶体结构分析，Structural analysis of the alpha-2,3-sialyltransferase Cst-I from Campylobacter jejuni in apo and substrate-analogue bound forms.pdf",3,Table 1,Table1: DataCollectionandRefinementStatistics,table_region_p3_310.0_47.6_565.5_712.8,"[309.981, 47.57437700000003, 565.452, 712.824226]",1.0,strong,region_guided,False,415,0,0,,0.0,body_text_contamination,shrink_bbox,True,0.65,region_confidence=1.00 | words=281 | many_long_lines_or_body_words,True,True,shrink_bbox,29,3,1.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.07,failed,no_parser_output | too_few_rows | too_few_cols | text_context_body_heavy,0.896,0.826,improved,True,True,failed table self-check with no usable parser output,failed_self_check_no_structure,no overlapping table chunk produced for this region,
"55、cstI晶体结构分析，Structural analysis of the alpha-2,3-sialyltransferase Cst-I from Campylobacter jejuni in apo and substrate-analogue bound forms.pdf",3,Table 1,"Table 1. membersofCAZyfamily42),andanadditionalC-terminal",table_region_p3_46.6_433.9_565.8_781.7,"[46.560119799999995, 433.87267539999993, 565.8115099999999, 781.6644436]",0.55,gray,region_guided,False,415,0,0,,0.0,body_text_contamination,shrink_bbox,True,0.65,region_confidence=0.55 | words=288 | many_long_lines_or_body_words,True,False,shrink_bbox,0,0,0.0,candidate produced no overlapping table chunk,False,,,0.0,,,False,False,False,False,False,False,False,,0.02,failed,no_parser_output | too_few_rows | too_few_cols | text_context_body_heavy,0.02,0.0,unchanged,False,True,failed table self-check with no usable parser output,failed_self_check_no_structure,no overlapping table chunk produced for this region,
"55、cstI晶体结构分析，Structural analysis of the alpha-2,3-sialyltransferase Cst-I from Campylobacter jejuni in apo and substrate-analogue bound forms.pdf",3,Table 1,Table1: DataCollectionandRefinementStatistics,table_region_p3_310.0_47.6_565.5_712.8,"[309.981, 47.57437700000003, 565.452, 712.824226]",1.0,strong,pdfplumber,False,346,0,0,,0.0,body_text_contamination,shrink_bbox,True,0.65,region_confidence=1.00 | words=281 | many_long_lines_or_body_words,True,True,shrink_bbox,29,3,1.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.07,failed,no_parser_output | too_few_rows | too_few_cols | text_context_body_heavy,0.896,0.826,improved,True,True,failed table self-check with no usable parser output,failed_self_check_no_structure,no overlapping table chunk produced for this region,
"55、cstI晶体结构分析，Structural analysis of the alpha-2,3-sialyltransferase Cst-I from Campylobacter jejuni in apo and substrate-analogue bound forms.pdf",3,Table 1,"Table 1. membersofCAZyfamily42),andanadditionalC-terminal",table_region_p3_46.6_433.9_565.8_781.7,"[46.560119799999995, 433.87267539999993, 565.8115099999999, 781.6644436]",0.55,gray,pdfplumber,False,346,0,0,,0.0,body_text_contamination,shrink_bbox,True,0.65,region_confidence=0.55 | words=288 | many_long_lines_or_body_words,True,False,shrink_bbox,0,0,0.0,candidate produced no overlapping table chunk,False,,,0.0,,,False,False,False,False,False,False,False,,0.02,failed,no_parser_output | too_few_rows | too_few_cols | text_context_body_heavy,0.02,0.0,unchanged,False,True,failed table self-check with no usable parser output,failed_self_check_no_structure,no overlapping table chunk produced for this region,
72、△arcA△iclR引入nox完全消除溢流代谢，Biosensor-Assisted Multitarget Gene Fine-Tuning for N‑Acetylneuraminic Acid Production in Escherichia coli with Sole Carbon Source Glucose.pdf,2,Table 1,Table 1. Strains Used in This Study,table_region_p2_43.5_56.7_563.5_721.9,"[43.4576, 56.684999999999945, 563.458, 721.934]",0.9,strong,region_guided,True,416,9,3,"[43.4576, 56.684999999999945, 563.458, 721.934]",1.0,header_or_span_complexity,retry_text_strategy,True,0.65,structural_quality:low_consistency,True,True,retry_text_strategy,9,3,1.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.764,usable,low_consistency | text_context_body_heavy,0.764,0.0,unchanged,False,False,,table_self_check_passed_or_repairable,,| strains | characteristics | source or reference | | --- | --- | --- | | E.coli cloninghost |  | labstock | | JM109 |  |  | | E.coliBL21 biosensorcharacterizationstrain |  | labstock | | (DE3) |  |  | | nanA::P tac |  |  | | nanT |  |  | |
72、△arcA△iclR引入nox完全消除溢流代谢，Biosensor-Assisted Multitarget Gene Fine-Tuning for N‑Acetylneuraminic Acid Production in Escherichia coli with Sole Carbon Source Glucose.pdf,3,Table S1,"TableS1, andall primers usedforplasmid construction arelisted in",table_region_p3_43.5_432.9_563.5_589.9,"[43.47749999999999, 432.8959, 563.4842000000001, 589.9144999999999]",0.75,strong,region_guided,False,416,0,0,,0.0,body_text_contamination,shrink_bbox,True,0.65,region_confidence=0.75 | words=207 | many_long_lines_or_body_words,True,False,shrink_bbox,0,0,0.0,candidate produced no overlapping table chunk,False,,,0.0,,,False,False,False,False,False,False,False,,0.02,failed,no_parser_output | too_few_rows | too_few_cols | text_context_body_heavy,0.02,0.0,unchanged,False,True,failed table self-check with no usable parser output,failed_self_check_no_structure,no overlapping table chunk produced for this region,
72、△arcA△iclR引入nox完全消除溢流代谢，Biosensor-Assisted Multitarget Gene Fine-Tuning for N‑Acetylneuraminic Acid Production in Escherichia coli with Sole Carbon Source Glucose.pdf,2,Table 1,Table 1. Strains Used in This Study,table_region_p2_43.5_56.7_563.5_721.9,"[43.4576, 56.684999999999945, 563.458, 721.934]",0.9,strong,pdfplumber,True,467,9,3,"[43.4576, 56.684999999999945, 563.458, 721.934]",1.0,header_or_span_complexity,retry_text_strategy,True,0.65,structural_quality:low_consistency,True,True,retry_text_strategy,9,3,1.0,,False,,,0.0,,,False,False,False,False,False,False,False,,0.764,usable,low_consistency | text_context_body_heavy,0.764,0.0,unchanged,False,False,,table_self_check_passed_or_repairable,,| strains | characteristics | source or reference | | --- | --- | --- | | E.coli cloninghost |  | labstock | | JM109 |  |  | | E.coliBL21 biosensorcharacterizationstrain |  | labstock | | (DE3) |  |  | | nanA::P tac |  |  | | nanT |  |  | |
72、△arcA△iclR引入nox完全消除溢流代谢，Biosensor-Assisted Multitarget Gene Fine-Tuning for N‑Acetylneuraminic Acid Production in Escherichia coli with Sole Carbon Source Glucose.pdf,3,Table S1,"TableS1, andall primers usedforplasmid construction arelisted in",table_region_p3_43.5_432.9_563.5_589.9,"[43.47749999999999, 432.8959, 563.4842000000001, 589.9144999999999]",0.75,strong,pdfplumber,False,467,0,0,,0.0,body_text_contamination,shrink_bbox,True,0.65,region_confidence=0.75 | words=207 | many_long_lines_or_body_words,True,False,shrink_bbox,0,0,0.0,candidate produced no overlapping table chunk,False,,,0.0,,,False,False,False,False,False,False,False,,0.02,failed,no_parser_output | too_few_rows | too_few_cols | text_context_body_heavy,0.02,0.0,unchanged,False,True,failed table self-check with no usable parser output,failed_self_check_no_structure,no overlapping table chunk produced for this region,
